,date,site_ID,profile_class,climate_zone,aircon_type_simplified,property_construction,weather_station_number,num_bedrooms,num_occupants,max_air_temperature,min_air_temperature
0,2023-01-01,S0083,3,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,26.7,18.4
1,2023-01-02,S0083,0,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,26.6,17.1
2,2023-01-03,S0083,0,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,27.1,18.5
3,2023-01-04,S0083,3,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,26.5,19.5
4,2023-01-05,S0083,3,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,21.0,16.8
5,2023-01-06,S0083,0,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,20.9,16.1
6,2023-01-07,S0083,0,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,21.7,17.1
7,2023-01-08,S0083,0,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,23.9,15.7
8,2023-01-09,S0083,3,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,26.0,14.8
9,2023-01-10,S0083,0,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,25.3,15.1
10,2023-01-11,S0083,0,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,24.5,18.6
11,2023-01-12,S0083,0,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,25.0,16.1
12,2023-01-13,S0083,0,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,26.5,16.5
13,2023-01-14,S0083,0,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,26.0,18.6
14,2023-01-15,S0083,0,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,28.9,16.6
15,2023-01-16,S0083,0,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,27.3,19.0
16,2023-01-17,S0083,0,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,26.2,17.9
17,2023-01-18,S0083,0,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,29.6,17.2
18,2023-01-19,S0083,0,Warm temperate (Zone 5),Split System,Brick veneer,61425,5,5,22.0,17.4
