first_date_metadata_received,last_date_metadata_received,edp_site_id,state,site_timezone,monitoring_hardware,inverter_manufacturer,inverter_model,inverter_ac_rating_kw,inverter_count,subarray_manufacturer,subarray_model,subarray_orientation,subarray_tilt,subarray_strings,subarray_modules_per_string,subarray_dc_rating_kw,islandable,has_battery,battery_size_make_model,limit_enabled,limit_amount,limit_applied
2021-12-07,2022-06-30,S0001,VIC,Australia/Hobart,SC-23,Fronius,Fronius Symo 5.0-3-M,5,2,Hanwha SolarOne,HSL 60S 4BB 260W,15.0,28.0,1,10,2.6,,,,,,
2021-12-07,2022-06-30,S0002,NSW,Australia/Sydney,SC-23,Generic Inverter,4.6kW,4.6,2,Hanwha SolarOne,HSL 60S 4BB 260W,0.0,25.0,1,10,2.6,No,,,,,
2021-12-07,2022-06-30,S0003,NSW,Australia/Sydney,SC-23,Delta Energy,SI 5000  (EU),5,1,Hanwha SolarOne,HSL 60S 4BB 260W,90.0,25.0,1,8,2.08,No,,,,,
2021-12-07,2022-06-30,S0003,NSW,Australia/Sydney,SC-23,Delta Energy,SI 5000  (EU),5,1,Hanwha SolarOne,HSL 60S 4BB 260W,-90.0,25.0,1,10,2.6,No,,,,,
2021-12-07,2022-06-30,S0004,NSW,Australia/Sydney,SC-23,Solis,Solis-3.6K-2G,3.6,1,Hanwha SolarOne,HSL 60S 4BB 260W,-50.0,25.0,1,8,2.08,,,,,,
2021-12-07,2022-06-30,S0004,NSW,Australia/Sydney,SC-23,Solis,Solis-3.6K-2G,3.6,1,Hanwha SolarOne,HSL 60S 4BB 260W,40.0,25.0,1,6,1.56,,,,,,
2021-12-07,2022-06-30,S0005,NSW,Australia/Sydney,SC-23,Solis,Solis-4.6K-2G,4.6,1,Renesola,JC250M-24/Bb,-85.0,25.0,1,5,1.25,No,,,,,
2021-12-07,2022-06-30,S0005,NSW,Australia/Sydney,SC-23,Solis,Solis-4.6K-2G,4.6,1,Hanwha SolarOne,HSL 60S 4BB 260W,5.0,25.0,1,11,2.86,No,,,,,
2021-12-07,2022-06-30,S0006,NSW,Australia/Sydney,SC-23,Solis,Solis-3K-2G,3,1,Hanwha SolarOne,HSL 60S 4BB 260W,7.0,25.0,1,12,3.12,,,,,,
2021-12-07,2022-06-30,S0007,NSW,Australia/Sydney,SC-23,Solis,Solis-3K-2G,3,1,Hanwha SolarOne,HSL 60P6-PC-1-260,0.0,25.0,1,12,3.12,No,,,,,
2021-12-07,2022-06-30,S0008,NSW,Australia/Sydney,SC-23,Solis,Solis-4.6K-2G,4.6,1,Hanwha SolarOne,HSL 60P6-PC-1-260,-45.0,25.0,1,18,4.68,No,,,,,
2021-12-07,2022-06-30,S0009,QLD,Australia/Brisbane,SC-23,Solis,Solis-1P4K-4G,4,1,Q Cells,Q.PRIME-G5 285,-90.0,25.0,1,6,1.71,No,,,,,
2021-12-07,2022-06-30,S0009,QLD,Australia/Brisbane,SC-23,Solis,Solis-1P4K-4G,4,1,Q Cells,Q.PRIME-G5 285,0.0,25.0,1,9,2.565,No,,,,,
