edp_site_id,postcode,state,property_construction,property_construction_other,property_star_rating,num_bedrooms,num_occupants,aircon_type,aircon_type_simplified,num_rooms_aircon,num_rooms_heated,climate_zone
S0024,4557,QLD,Brick veneer,Mix Brick Veneer and fibreboard on timber frame,0,4,4,Ducted,Ducted,7,7,2
S0083,2257,NSW,Brick veneer,0,0,5 or more,5,Split System,Split System,1,0,5
S0089,5352,SA,Brick veneer,0,0,4,2,Ducted,Ducted,8,3,6
S0106,2515,NSW,Other (please specify),0,0,4,3,Split System,Split System,1,0,5
S0107,3146,VIC,Lightweight,0,0,5 or more,4,Ducted,Ducted,7,7,6
S0108,4133,QLD,Double brick,0,0,3,3,Split System,Split System,3,3,2
S0110,2566,NSW,Brick veneer,0,0,4,6,Ducted,Ducted,7,7,6
S0111,2085,NSW,Brick veneer,0,0,4,3,Split System,Split System,1,3,5
W0086,2093,NSW,Double brick,0,0,3,5,Wall / window mounted aircon,Wall / window mounted aircon,1,1,5
W0087,3858,VIC,Brick veneer,0,5,4,2,Split System,Split System,2,2,7
S0159,5097,SA,Brick veneer,Brick veneer with solid brick for wet areas,0,3,2,Ducted evaporative cooler,Ducted,7,2,5
S0173,3064,VIC,Double brick,0,5,4,4,Ducted evaporative cooler,Ducted,7,7,6
S0177,2121,NSW,Lightweight,0,0,3,1,Wall / window mounted aircon,Wall / window mounted aircon,2,2,6
S0179,2285,NSW,Lightweight,0,0,3,3,Split System,Split System,1,1,5
S0188,6112,WA,Double brick,0,0,4,3,Ducted,Ducted,6,1,5
S0195,2752,NSW,Lightweight,0,0,3,4,Split System,Split System,1,1,6
S0198,4816,QLD,Double brick,Blockwork,0,5 or more,7 or more,Split System,Split System,10,0,3
S0199,4105,QLD,Lightweight,0,0,3,2,Split System,Split System,3,0,2
S0206,4814,QLD,Lightweight,0,0,2,2,Wall / window mounted aircon,Wall / window mounted aircon,2,0,1
S0208,3032,VIC,Lightweight,Weatherboard,0,3,3,Split System,Split System,4,7,6
S0209,2151,NSW,Brick veneer,0,0,3,2,Ducted,Ducted,7,7,6
S0216,2289,NSW,Lightweight,0,0,5 or more,4,Ducted,Ducted,All,1,5
S0223,2092,NSW,Double brick,0,0,4,3,Ducted,Ducted,3,7,5
S0225,4814,QLD,Lightweight,0,0,2,2,Split System,Split System,2,0,1
S0227,3429,VIC,Brick veneer,0,5,4,4,Ducted,Ducted,All,All,7
S0229,4006,QLD,Lightweight,0,0,4,3,Ducted,Ducted,4,3,2
S0230,7250,TAS,Double brick,0,0,3,4,Split System,Split System,2,2,7
S0233,3631,VIC,Brick veneer,0,6.7,3,4,Ducted,Ducted,All,All,6
S0238,2042,NSW,Double brick,0,0,3,3,Split System,Split System,All,All,5
S0245,6112,WA,Double brick,0,0,3,2,Ducted,Ducted,5,5,5
S0248,2536,NSW,Brick veneer,0,0,4,1,Split System,Split System,5,5,6
S0249,2480,NSW,Brick veneer,0,0,3,1,Split System,Split System,4,4,2
S0250,6230,WA,Double brick,0,0,4,2,Split System,Split System,1,0,5
S0260,2153,NSW,Brick veneer,0,0,4,2,Split System,Split System,2,2,6
S0261,4051,QLD,Concrete,0,0,5 or more,4,Ducted,Ducted,7,7,2
S0268,5554,SA,Brick veneer,0,0,4,2,Ducted,Ducted,7,7,5
S0284,2756,NSW,Brick veneer,0,0,4,4,Ducted,Ducted,6,6,6
S0285,6053,WA,Double brick,0,0,3,3,Ducted,Ducted,All,All,5
S0291,5271,SA,Brick veneer,0,0,5 or more,1,Split System,Split System,1,1,6
S0299,2321,NSW,Double brick,Hebel,0,4,2,Ducted,Ducted,7,7,5
S0301,4034,QLD,Lightweight,0,0,3,3,Split System,Split System,All,All,2
S0309,5290,SA,Double brick,Stone ,0,5 or more,4,Split System,Split System,3,4,6
S0314,4814,QLD,Brick veneer,0,0,4,4,Split System,Split System,6,0,1
S0318,2191,NSW,Double brick,0,0,3,4,Wall / window mounted aircon,Wall / window mounted aircon,2,1,5
S0324,5092,SA,Double brick,0,0,2,1,Ducted,Ducted,3,3,5
S0337,2227,NSW,Brick veneer,0,0,4,4,Split System,Split System,1,1,5
S0338,5095,SA,Brick veneer,0,0,2,2,Ducted,Ducted,4,4,5
S0339,2478,NSW,Lightweight,0,0,3,2,Ducted,Ducted,3,4,2
S0341,4105,QLD,Lightweight,0,0,4,2,Ducted,Ducted,6,0,2
S0161,2800,NSW,Double brick,0,0,4,2,Ducted,Ducted,5,5,7
S0162,2073,NSW,Other (please specify),,0,4,2,Ducted,Ducted,5,3,5
S0349,2048,NSW,Other (please specify),,0,4,4,Split System,Split System,4,4,5
S0351,5073,SA,Brick veneer,0,0,3,2,Ducted,Ducted,5,5,5
S0353,3429,VIC,Brick veneer,0,4.5,4,4,Ducted evaporative cooler,Ducted,10,10,7
S0360,5373,SA,Double brick,0,0,4,2,Ducted,Ducted,6,6,6
S0372,5072,SA,Double brick,0,0,3,2,Split System,Split System,2,2,5
