survey_date,edp_site_id,consent_edp,consent_spt,consent_contact,consent_contact_method,over_18,postcode,state,account_holder,property_use,property_year,property_construction,property_construction_other,property_star_rating,num_floors,dwelling_type,dwelling_type_other,num_bedrooms,tenure,tenure_not_occupied,tenure_other,tenure_rented_from,tenure_rented_other,num_occupants,num_children,num_occupants_70plus,has_pets,num_type_pets,has_livestock,num_type_livestock,num_days_occupied,income_weekly,has_gas,has_gas_heating,has_gas_cooking,has_gas_hot_water,has_aircon,aircon_type,num_rooms_aircon,num_rooms_heated,num_refrigerators,has_poolpump,dryer_usage,has_ev,ev_type,ev_charger_type,significant_loads_other,commercial_loads,business_hours,connection_type,has_controlled_load,islandable,property_power_outage_types,property_power_outage_other,area_power_outage_types,area_power_outage_other,power_outage_latest,has_solar,hot_water_heat_type,hot_water_heat_type_other,rooms_heat_type,rooms_heat_type_other,has_battery,battery_size_make_model
12/7/21,S0037,"Yes, I agree to participate",Yes,Yes,"Email,Mail",Yes,3039,VIC,Yes,Residential,1985,Double brick,,,2,Detached house,,4,This is my home and is owned outright by me or my family,,,,,2,0,2,No,,No,,7-Jun,Above $1200,Yes - connected to the gas main,No,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Split system,2,0,1,No,Low,No,,,,,,,Don't Know,,,,,,,t,,,,,,
12/7/21,S0057,"Yes, I agree to participate",Yes,No,,Yes,4123,QLD,Yes,Residential,1976,Brick veneer,,,1,Detached house,,3,This is my home and is owned outright by me or my family,,,,,2,0,0,Yes,2 dogs 3 cats,No,,4-Mar,$800 - $1200,No,,,,Yes,Ducted,5,53,3 or more,Yes,None,No,,,Hot water,,,Single phase,Don't Know,,Storm,,,,21-Mar,t,,,,,,
12/7/21,S0001,"Yes, I agree to participate",Yes,Yes,Mail,Yes,3040,VIC,Yes,Residential,1938,Timber frame with fibreboard or other lightweight cladding,,,1,Detached house,,4,This is my home and is owned under a mortgage by me or my family,,,,,5,3,0,Yes, 1 dog,No,,2-Jan,Above $1200,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Ducted,8,8,3 or more,No,None,No,,,,,,Three phase,Don't Know,,,,,,,t,,,,,,
12/7/21,S0002,"Yes, I agree to participate",Yes,No,,Yes,2768,NSW,Yes,Residential,2002,Brick veneer,,,1,Detached house,,3,This is my home and is owned under a mortgage by me or my family,,,,,3,2,0,No,,No,,4-Mar,$800 - $1200,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Ducted,6,6,2,Yes,Medium,No,,,,,,Single phase,Don't Know,No,Storm,,,,A few years ago,t,,,,,,
12/7/21,S0003,"Yes, I agree to participate",Yes,No,,Yes,2450,NSW,Yes,Residential,1985,Double brick,,,3,Detached house,,5 or more,This is my home and is owned outright by me or my family,,,,,2,0,0,No,,No,,7-Jun,Don't know,No,,,,Yes,Split system,"1 large - lounge, dining, kitchen",1,3 or more,Yes,None,No,,,,,,Single phase,Yes,No,Storm,,,,1 month,t,,,,,,
12/7/21,S0004,"Yes, I agree to participate",Yes,Yes,"Email,Phone",Yes,2570,NSW,Yes,Residential,1980,Brick veneer,,,1,Detached house,,3,This is my home and is owned under a mortgage by me or my family,,,,,4,2,0,Yes,1 Dog and 1 Rabbit,No,,7-Jun,Above $1200,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,No,Yes,Split system,2,1,2,Yes,Low,No,,,2 workers one a teacher one night shift so someone is at home most of the time ,,,,Yes,,Storm,,,,About a year,t,,,,,,
12/7/21,S0005,"Yes, I agree to participate",No,No,,Yes,2320,NSW,Yes,Residential,1984,Brick veneer,,,1,Detached house,,3,This is my home and is owned outright by me or my family,,,,,2,0,0,Yes,One canine,No,,7-Jun,Prefer not to say / Not applicable,Yes - connected to the gas main,No,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Split system,Two,Two,2,No,Low,No,,,None,,,Two phase,No,No,Storm,,,,4 hours,t,,,,,,
12/7/21,S0006,"Yes, I agree to participate",Yes,No,,Yes,2047,NSW,Yes,Residential,1905,Double brick,,,2,Detached house,,5 or more,This is my home and is owned under a mortgage by me or my family,,,,,5,1,0,Yes,"Dogs x2, bird x1",No,,7-Jun,Prefer not to say / Not applicable,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Ducted,9,1,2,Yes,Low,Yes,Tesla Model 3 MY21 Long range,Phase 3 Tesla,,,,Three phase,Don't Know,,,,,,,t,,,,,,
12/7/21,S0007,"Yes, I agree to participate",Yes,Yes,Mail,Yes,2148,NSW,Yes,Residential,1990,Brick veneer,,,1,Detached house,,3,This is my home and is owned outright by me or my family,,,,,3,0,0,Yes,1 kelpie x cattle,No,,7-Jun,Less than $800,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,No,Yes,Split system,5,1,1,No,Medium,No,,,,,,Single phase,No,No,Storm,,,,more than 5 years ago,t,,,,,,
12/7/21,S0008,"Yes, I agree to participate",Yes,No,,Yes,2316,NSW,Yes,Residential,1999,Other (please specify),"Steel Frame, Hebel wall panels",,1,Detached house,,4,This is my home and is owned under a mortgage by me or my family,,,,,4,1,0,Yes,1 cat,No,,7-Jun,Prefer not to say / Not applicable,No,,,,No,,,0,2,No,Low,No,,,Nil,,,Single phase,Yes,No,"Storm,Wind",,,,1 year,t,,,,,,
